month,gender,mean,sd,minus_3sd,minus_2sd,minus_1sd,median,plus_1sd,plus_2sd,plus_3sd
0,P,49.1477,1.8627,43.6,45.4,47.3,49.1,51,52.9,54.7
1,P,53.6872,1.9542,47.8,49.8,51.7,53.7,55.6,57.6,59.5
2,P,57.0673,2.0362,51,53,55,57.1,59.1,61.1,63.2
3,P,59.8029,2.1051,53.5,55.6,57.7,59.8,61.9,64,66.1
4,P,62.0899,2.1645,55.6,57.8,59.9,62.1,64.3,66.4,68.6
5,P,64.0301,2.2174,57.4,59.6,61.8,64,66.2,68.5,70.7
6,P,65.7311,2.2664,58.9,61.2,63.5,65.7,68,70.3,72.5
7,P,67.2873,2.3154,60.3,62.7,65,67.3,69.6,71.9,74.2
8,P,68.7498,2.365,61.7,64,66.4,68.7,71.1,73.5,75.8
9,P,70.1435,2.4157,62.9,65.3,67.7,70.1,72.6,75,77.4
10,P,71.4818,2.4676,64.1,66.5,69,71.5,73.9,76.4,78.9
11,P,72.771,2.5208,65.2,67.7,70.3,72.8,75.3,77.8,80.3
12,P,74.015,2.575,66.3,68.9,71.4,74,76.6,79.2,81.7
13,P,75.2176,2.6296,67.3,70,72.6,75.2,77.8,80.5,83.1
14,P,76.3817,2.6841,68.3,71,73.7,76.4,79.1,81.7,84.4
15,P,77.5099,2.7392,69.3,72,74.8,77.5,80.2,83,85.7
16,P,78.6055,2.7944,70.2,73,75.8,78.6,81.4,84.2,87
17,P,79.671,2.849,71.1,74,76.8,79.7,82.5,85.4,88.2
18,P,80.7079,2.9039,72,74.9,77.8,80.7,83.6,86.5,89.4
19,P,81.7182,2.9582,72.8,75.8,78.8,81.7,84.7,87.6,90.6
20,P,82.7036,3.0129,73.7,76.7,79.7,82.7,85.7,88.7,91.7
21,P,83.6654,3.0672,74.5,77.5,80.6,83.7,86.7,89.8,92.9
22,P,84.604,3.1202,75.2,78.4,81.5,84.6,87.7,90.8,94
23,P,85.5202,3.1737,76,79.2,82.3,85.5,88.7,91.9,95
24,P,85.7153,3.2267,76,79.3,82.5,85.7,88.9,92.2,95.4
25,P,86.5904,3.2783,76.8,80,83.3,86.6,89.9,93.1,96.4
26,P,87.4462,3.33,77.5,80.8,84.1,87.4,90.8,94.1,97.4
27,P,88.283,3.3812,78.1,81.5,84.9,88.3,91.7,95,98.4
28,P,89.1004,3.4313,78.8,82.2,85.7,89.1,92.5,96,99.4
29,P,89.8991,3.4809,79.5,82.9,86.4,89.9,93.4,96.9,100.3
30,P,90.6797,3.5302,80.1,83.6,87.1,90.7,94.2,97.7,101.3
31,P,91.443,3.5782,80.7,84.3,87.9,91.4,95,98.6,102.2
32,P,92.1906,3.6259,81.3,84.9,88.6,92.2,95.8,99.4,103.1
33,P,92.9239,3.6724,81.9,85.6,89.3,92.9,96.6,100.3,103.9
34,P,93.6444,3.7186,82.5,86.2,89.9,93.6,97.4,101.1,104.8
35,P,94.3533,3.7638,83.1,86.8,90.6,94.4,98.1,101.9,105.6
36,P,95.0515,3.8078,83.6,87.4,91.2,95.1,98.9,102.7,106.5
37,P,95.7399,3.8526,84.2,88,91.9,95.7,99.6,103.4,107.3
38,P,96.4187,3.8963,84.7,88.6,92.5,96.4,100.3,104.2,108.1
39,P,97.0885,3.9389,85.3,89.2,93.1,97.1,101,105,108.9
40,P,97.7493,3.9813,85.8,89.8,93.8,97.7,101.7,105.7,109.7
41,P,98.4015,4.0236,86.3,90.4,94.4,98.4,102.4,106.4,110.5
42,P,99.0448,4.0658,86.8,90.9,95,99,103.1,107.2,111.2
43,P,99.6795,4.1068,87.4,91.5,95.6,99.7,103.8,107.9,112
44,P,100.3058,4.1476,87.9,92,96.2,100.3,104.5,108.6,112.7
45,P,100.9238,4.1883,88.4,92.5,96.7,100.9,105.1,109.3,113.5
46,P,101.5337,4.2279,88.9,93.1,97.3,101.5,105.8,110,114.2
47,P,102.136,4.2683,89.3,93.6,97.9,102.1,106.4,110.7,114.9
48,P,102.7312,4.3075,89.8,94.1,98.4,102.7,107,111.3,115.7
49,P,103.3197,4.3456,90.3,94.6,99,103.3,107.7,112,116.4
50,P,103.9021,4.3847,90.7,95.1,99.5,103.9,108.3,112.7,117.1
51,P,104.4786,4.4226,91.2,95.6,100.1,104.5,108.9,113.3,117.7
52,P,105.0494,4.4604,91.7,96.1,100.6,105,109.5,114,118.4
53,P,105.6148,4.4981,92.1,96.6,101.1,105.6,110.1,114.6,119.1
54,P,106.1748,4.5358,92.6,97.1,101.6,106.2,110.7,115.2,119.8
55,P,106.7295,4.5734,93,97.6,102.2,106.7,111.3,115.9,120.4
56,P,107.2788,4.6108,93.4,98.1,102.7,107.3,111.9,116.5,121.1
57,P,107.8227,4.6472,93.9,98.5,103.2,107.8,112.5,117.1,121.8
58,P,108.3613,4.6834,94.3,99,103.7,108.4,113,117.7,122.4
59,P,108.8948,4.7195,94.7,99.5,104.2,108.9,113.6,118.3,123.1
60,P,109.4233,4.7566,95.2,99.9,104.7,109.4,114.2,118.9,123.7
0,L,49.8842,1.8931,44.2,46.1,48,49.9,51.8,53.7,55.6
1,L,54.7244,1.9465,48.9,50.8,52.8,54.7,56.7,58.6,60.6
2,L,58.4249,2.0005,52.4,54.4,56.4,58.4,60.4,62.4,64.4
3,L,61.4292,2.0444,55.3,57.3,59.4,61.4,63.5,65.5,67.6
4,L,63.886,2.0808,57.6,59.7,61.8,63.9,66,68,70.1
5,L,65.9026,2.1115,59.6,61.7,63.8,65.9,68,70.1,72.2
6,L,67.6236,2.1403,61.2,63.3,65.5,67.6,69.8,71.9,74
7,L,69.1645,2.1711,62.7,64.8,67,69.2,71.3,73.5,75.7
8,L,70.5994,2.2055,64,66.2,68.4,70.6,72.8,75,77.2
9,L,71.9687,2.2433,65.2,67.5,69.7,72,74.2,76.5,78.7
10,L,73.2812,2.2849,66.4,68.7,71,73.3,75.6,77.9,80.1
11,L,74.5388,2.3293,67.6,69.9,72.2,74.5,76.9,79.2,81.5
12,L,75.7488,2.3762,68.6,71,73.4,75.7,78.1,80.5,82.9
13,L,76.9186,2.426,69.6,72.1,74.5,76.9,79.3,81.8,84.2
14,L,78.0497,2.4773,70.6,73.1,75.6,78,80.5,83,85.5
15,L,79.1458,2.5303,71.6,74.1,76.6,79.1,81.7,84.2,86.7
16,L,80.2113,2.5844,72.5,75,77.6,80.2,82.8,85.4,88
17,L,81.2487,2.6406,73.3,76,78.6,81.2,83.9,86.5,89.2
18,L,82.2587,2.6973,74.2,76.9,79.6,82.3,85,87.7,90.4
19,L,83.2418,2.7553,75,77.7,80.5,83.2,86,88.8,91.5
20,L,84.1996,2.814,75.8,78.6,81.4,84.2,87,89.8,92.6
21,L,85.1348,2.8742,76.5,79.4,82.3,85.1,88,90.9,93.8
22,L,86.0477,2.9342,77.2,80.2,83.1,86,89,91.9,94.9
23,L,86.941,2.9951,78,81,83.9,86.9,89.9,92.9,95.9
24,L,87.1161,3.0551,78,81,84.1,87.1,90.2,93.2,96.3
25,L,87.972,3.116,78.6,81.7,84.9,88,91.1,94.2,97.3
26,L,88.8065,3.1757,79.3,82.5,85.6,88.8,92,95.2,98.3
27,L,89.6197,3.2353,79.9,83.1,86.4,89.6,92.9,96.1,99.3
28,L,90.412,3.2928,80.5,83.8,87.1,90.4,93.7,97,100.3
29,L,91.1828,3.3501,81.1,84.5,87.8,91.2,94.5,97.9,101.2
30,L,91.9327,3.4052,81.7,85.1,88.5,91.9,95.3,98.7,102.1
31,L,92.6631,3.4591,82.3,85.7,89.2,92.7,96.1,99.6,103
32,L,93.3753,3.5118,82.8,86.4,89.9,93.4,96.9,100.4,103.9
33,L,94.0711,3.5625,83.4,86.9,90.5,94.1,97.6,101.2,104.8
34,L,94.7532,3.612,83.9,87.5,91.1,94.8,98.4,102,105.6
35,L,95.4236,3.6604,84.4,88.1,91.8,95.4,99.1,102.7,106.4
36,L,96.0835,3.7069,85,88.7,92.4,96.1,99.8,103.5,107.2
37,L,96.7337,3.7523,85.5,89.2,93,96.7,100.5,104.2,108
38,L,97.3749,3.7976,86,89.8,93.6,97.4,101.2,105,108.8
39,L,98.0073,3.8409,86.5,90.3,94.2,98,101.8,105.7,109.5
40,L,98.631,3.8831,87,90.9,94.7,98.6,102.5,106.4,110.3
41,L,99.2459,3.9242,87.5,91.4,95.3,99.2,103.2,107.1,111
42,L,99.8515,3.9651,88,91.9,95.9,99.9,103.8,107.8,111.7
43,L,100.4485,4.0039,88.4,92.4,96.4,100.4,104.5,108.5,112.5
44,L,101.0374,4.0435,88.9,93,97,101,105.1,109.1,113.2
45,L,101.6186,4.081,89.4,93.5,97.5,101.6,105.7,109.8,113.9
46,L,102.1933,4.1194,89.8,94,98.1,102.2,106.3,110.4,114.6
47,L,102.7625,4.1567,90.3,94.4,98.6,102.8,106.9,111.1,115.2
48,L,103.3273,4.1941,90.7,94.9,99.1,103.3,107.5,111.7,115.9
49,L,103.8886,4.2314,91.2,95.4,99.7,103.9,108.1,112.4,116.6
50,L,104.4473,4.2677,91.6,95.9,100.2,104.4,108.7,113,117.3
51,L,105.0041,4.3052,92.1,96.4,100.7,105,109.3,113.6,117.9
52,L,105.5596,4.3417,92.5,96.9,101.2,105.6,109.9,114.2,118.6
53,L,106.1138,4.3783,93,97.4,101.7,106.1,110.5,114.9,119.2
54,L,106.6668,4.4149,93.4,97.8,102.3,106.7,111.1,115.5,119.9
55,L,107.2188,4.4517,93.9,98.3,102.8,107.2,111.7,116.1,120.6
56,L,107.7697,4.4886,94.3,98.8,103.3,107.8,112.3,116.7,121.2
57,L,108.3198,4.5245,94.7,99.3,103.8,108.3,112.8,117.4,121.9
58,L,108.8689,4.5616,95.2,99.7,104.3,108.9,113.4,118,122.6
59,L,109.417,4.5977,95.6,100.2,104.8,109.4,114,118.6,123.2
60,L,109.9638,4.6339,96.1,100.7,105.3,110,114.6,119.2,123.9
